Protein	geneSymbol	diseaseName	diseaseClass	disease
C-reactive protein	CRP	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
C-reactive protein	CRP	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Ceruloplasmin	CP	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Complement C3	C3	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Creatine kinase B-type	CKB	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Creatine kinase B-type	CKB	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Creatine kinase B-type	CKB	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Creatine kinase B-type	CKB	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Creatine kinase B-type	CKB	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Creatine kinase B-type	CKB	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Fibrinogen alpha chain	FGA	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Fibronectin	FN1	Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
Fructose-bisphosphate aldolase B	ALDOB	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Fructose-bisphosphate aldolase B	ALDOB	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Fructose-bisphosphate aldolase B	ALDOB	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Fructose-bisphosphate aldolase B	ALDOB	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Fructose-bisphosphate aldolase B	ALDOB	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Fructose-bisphosphate aldolase B	ALDOB	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Hemopexin	HPX	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Myeloperoxidase	MPO	Alcoholic Intoxication	C25	Заболевания вследствие воздействия химических веществ
Myeloperoxidase	MPO	Drug Eruptions	C25	Заболевания вследствие воздействия химических веществ
Myeloperoxidase	MPO	Liver Cirrhosis, Alcoholic	C25	Заболевания вследствие воздействия химических веществ
Myeloperoxidase	MPO	Morbilliform Drug Reaction	C25	Заболевания вследствие воздействия химических веществ
Natriuretic peptides B	NPPB	Cardiotoxicity	C25	Заболевания вследствие воздействия химических веществ
Plasma protease C1 inhibitor	SERPING1	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Plasma protease C1 inhibitor	SERPING1	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Plasma protease C1 inhibitor	SERPING1	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Plasma protease C1 inhibitor	SERPING1	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Plasma protease C1 inhibitor	SERPING1	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Plasma protease C1 inhibitor	SERPING1	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Plasminogen	PLG	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Prolactin	PRL	Cocaine Abuse	C25	Заболевания вследствие воздействия химических веществ
Prolactin	PRL	Substance Withdrawal Syndrome	C25	Заболевания вследствие воздействия химических веществ
Prolactin	PRL	Drug Withdrawal Symptoms	C25	Заболевания вследствие воздействия химических веществ
Prolactin	PRL	Withdrawal Symptoms	C25	Заболевания вследствие воздействия химических веществ
Prolactin	PRL	Cocaine-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Prolactin	PRL	Cocaine Dependence	C25	Заболевания вследствие воздействия химических веществ
Retinol-binding protein 4	RBP4	Alcoholic Liver Diseases	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Alcohol Use Disorder	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Serotransferrin	TF	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Toxic Epidermal Necrolysis	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Serum Sickness	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Stevens-Johnson Syndrome	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Drug-Induced Stevens Johnson Syndrome	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Mycoplasma-Induced Stevens-Johnson Syndrome	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Serum albumin	ALB	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Sex hormone-binding globulin	SHBG	Alcohol Use Disorder	C25	Заболевания вследствие воздействия химических веществ
Sex hormone-binding globulin	SHBG	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
Sex hormone-binding globulin	SHBG	Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Encephalopathy, Toxic	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Toxic Encephalitis	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Neurotoxicity Syndromes	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Amphetamine-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Amphetamine Addiction	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Amphetamine Abuse	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Tissue-type plasminogen activator	PLAT	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Drug Eruptions	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Morbilliform Drug Reaction	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Transthyretin	TTR	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Alcohol Use Disorder	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
von Willebrand factor	VWF	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Heroin Dependence	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	heroin abuse	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Adiponectin	ADIPOQ	Heroin Smoking	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Cardiomyopathy, Alcoholic	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Angiotensinogen	AGT	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Complement component C9	C9	Opioid-Related Disorders	C25	Заболевания вследствие воздействия химических веществ
Complement component C9	C9	Opioid abuse	C25	Заболевания вследствие воздействия химических веществ
Complement component C9	C9	Narcotic Abuse	C25	Заболевания вследствие воздействия химических веществ
Complement component C9	C9	Opiate Addiction	C25	Заболевания вследствие воздействия химических веществ
Complement component C9	C9	Narcotic Dependence	C25	Заболевания вследствие воздействия химических веществ
Complement component C9	C9	Opiate Abuse	C25	Заболевания вследствие воздействия химических веществ
Corticosteroid-binding globulin	SERPINA6	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Corticosteroid-binding globulin	SERPINA6	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Corticosteroid-binding globulin	SERPINA6	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Corticosteroid-binding globulin	SERPINA6	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Corticosteroid-binding globulin	SERPINA6	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Corticosteroid-binding globulin	SERPINA6	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Epidermal growth factor receptor	EGFR	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
Epidermal growth factor receptor	EGFR	Marijuana Abuse	C25	Заболевания вследствие воздействия химических веществ
Epidermal growth factor receptor	EGFR	Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
Interleukin-10	IL10	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
Interleukin-10	IL10	Drug Allergy	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Liver Cirrhosis, Alcoholic	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Nicotine Dependence	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Tobacco Dependence	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Drug-induced depressive state	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Nicotine Use Disorder	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Interleukin-6	IL6	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Drug Eruptions	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Morbilliform Drug Reaction	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Kininogen-1	KNG1	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Minamata Disease	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Inorganic Mercury Poisoning	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Mercury Poisoning, Organic	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Mercury Poisoning, Nervous System	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Mercury Encephalopathy	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Mad Hatter Disease	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Mercurial Neuroanesthenia	C25	Заболевания вследствие воздействия химических веществ
Protein S100-B	S100B	Mercury Psychosis	C25	Заболевания вследствие воздействия химических веществ
Prothrombin	F2	Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
Vitamin D-binding protein	GC	Chemically-Induced Liver Toxicity	C25	Заболевания вследствие воздействия химических веществ
Complement C4	C4B	Drug Eruptions	C25	Заболевания вследствие воздействия химических веществ
Complement C4	C4B	Morbilliform Drug Reaction	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Alcoholic Intoxication, Chronic	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Hepatitis, Toxic	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Liver Cirrhosis, Alcoholic	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Alcohol abuse	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Drug-Induced Liver Disease	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Hepatitis, Drug-Induced	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Drug-Induced Acute Liver Injury	C25	Заболевания вследствие воздействия химических веществ
72 KDa type IV collagenase	MMP2	Chemical and Drug Induced Liver Injury	C25	Заболевания вследствие воздействия химических веществ
