diseaseName	diseaseClass	disease
Dyskinesia, Medication-Induced	C25	Заболевания вследствие воздействия химических веществ
Liver Failure	C06	Заболевания пищеварительной системы
Cholestasis	C06	Заболевания пищеварительной системы
Liver diseases	C06	Заболевания пищеварительной системы
Liver Dysfunction	C06	Заболевания пищеварительной системы
Liver Failure, Acute	C06	Заболевания пищеварительной системы
Fatty Liver	C06	Заболевания пищеварительной системы
Steatohepatitis	C06	Заболевания пищеварительной системы
Crohn Disease	C06	Заболевания пищеварительной системы
Crohn's disease of large bowel	C06	Заболевания пищеварительной системы
Crohn's disease of the ileum	C06	Заболевания пищеварительной системы
Regional enteritis	C06	Заболевания пищеварительной системы
IIeocolitis	C06	Заболевания пищеварительной системы
Cholestasis, Extrahepatic	C06	Заболевания пищеварительной системы
Cholangitis	C06	Заболевания пищеварительной системы
Colitis	C06	Заболевания пищеварительной системы
Ulcerative Colitis	C06	Заболевания пищеварительной системы
Pancreatitis	C06	Заболевания пищеварительной системы
Hepatitis	C06	Заболевания пищеварительной системы
Pancreatic Diseases	C06	Заболевания пищеварительной системы
Hepatic Insufficiency	C06	Заболевания пищеварительной системы
Non-alcoholic Fatty Liver Disease	C06	Заболевания пищеварительной системы
Nonalcoholic Steatohepatitis	C06	Заболевания пищеварительной системы
Neonatal inflammatory skin and bowel disease	C06	Заболевания пищеварительной системы
Inflammatory Bowel Diseases	C06	Заболевания пищеварительной системы
Enterocolitis	C06	Заболевания пищеварительной системы
Ileitis	C06	Заболевания пищеварительной системы
Irritable Bowel Syndrome	C06	Заболевания пищеварительной системы
Hepatitis, Chronic	C06	Заболевания пищеварительной системы
Chronic Persistent Hepatitis	C06	Заболевания пищеварительной системы
Chronic active hepatitis	C06	Заболевания пищеварительной системы
Cryptogenic Chronic Hepatitis	C06	Заболевания пищеварительной системы
Gastric ulcer	C06	Заболевания пищеварительной системы
Diverticular Diseases	C06	Заболевания пищеварительной системы
Diverticular Bleeding	C06	Заболевания пищеварительной системы
Cholangitis, Sclerosing	C06	Заболевания пищеварительной системы
Primary sclerosing cholangitis	C06	Заболевания пищеварительной системы
Necrotizing Enterocolitis	C06	Заболевания пищеварительной системы
Liver Cirrhosis	C06	Заболевания пищеварительной системы
Malignant neoplasm of stomach	C06	Заболевания пищеварительной системы
Stomach Neoplasms	C06	Заболевания пищеварительной системы
alpha 1-Antitrypsin Deficiency	C06	Заболевания пищеварительной системы
Fibrosis, Liver	C06	Заболевания пищеварительной системы
Hereditary Diffuse Gastric Cancer	C06	Заболевания пищеварительной системы
Liver carcinoma	C06	Заболевания пищеварительной системы
Gastro-enteropancreatic neuroendocrine tumor	C06	Заболевания пищеварительной системы
Malignant tumor of colon	C06	Заболевания пищеварительной системы
Colonic Neoplasms	C06	Заболевания пищеварительной системы
Hepatolenticular Degeneration	C06	Заболевания пищеварительной системы
Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Hepatocellular Adenoma	C06	Заболевания пищеварительной системы
Hepatic Form of Wilson Disease	C06	Заболевания пищеварительной системы
Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Celiac Disease	C06	Заболевания пищеварительной системы
Colorectal Carcinoma	C06	Заболевания пищеварительной системы
Squamous cell carcinoma of esophagus	C06	Заболевания пищеварительной системы
Hepatic Vein Thrombosis	C06	Заболевания пищеварительной системы
Adenomatous Polyposis Coli	C06	Заболевания пищеварительной системы
Mesenteric Venous Thrombosis	C06	Заболевания пищеварительной системы
Budd-Chiari Syndrome	C06	Заболевания пищеварительной системы
Mesenteric vascular insufficiency	C06	Заболевания пищеварительной системы
Polyposis, Adenomatous Intestinal	C06	Заболевания пищеварительной системы
Familial Intestinal Polyposis	C06	Заболевания пищеварительной системы
Acute Mesenteric Arterial Embolus	C06	Заболевания пищеварительной системы
Occlusive Mesenteric Arterial Ischemia	C06	Заболевания пищеварительной системы
Nonocclusive Mesenteric Ischemia	C06	Заболевания пищеварительной системы
Acute Mesenteric Arterial Thrombosis	C06	Заболевания пищеварительной системы
Peritonitis	C06	Заболевания пищеварительной системы
Primary Peritonitis	C06	Заболевания пищеварительной системы
Secondary Peritonitis	C06	Заболевания пищеварительной системы
Autoimmune Chronic Hepatitis	C06	Заболевания пищеварительной системы
Hepatitis B	C06	Заболевания пищеварительной системы
Hepatitis B, Chronic	C06	Заболевания пищеварительной системы
Hepatitis C, Chronic	C06	Заболевания пищеварительной системы
Primary biliary cirrhosis	C06	Заболевания пищеварительной системы
Biliary cirrhosis	C06	Заболевания пищеварительной системы
Secondary Biliary Cholangitis	C06	Заболевания пищеварительной системы
Biliary Cirrhosis, Primary, 1	C06	Заболевания пищеварительной системы
Colorectal Neoplasms	C06	Заболевания пищеварительной системы
Liver Cirrhosis, Alcoholic	C06	Заболевания пищеварительной системы
Liver neoplasms	C06	Заболевания пищеварительной системы
Malignant neoplasm of liver	C06	Заболевания пищеварительной системы
Alcoholic Liver Diseases	C06	Заболевания пищеварительной системы
Hepatomegaly	C06	Заболевания пищеварительной системы
Peptic Ulcer Hemorrhage	C06	Заболевания пищеварительной системы
Hepatoma, Morris	C06	Заболевания пищеварительной системы
Hepatoma, Novikoff	C06	Заболевания пищеварительной системы
Liver Neoplasms, Experimental	C06	Заболевания пищеварительной системы
Experimental Hepatoma	C06	Заболевания пищеварительной системы
Bile Duct Neoplasms	C06	Заболевания пищеварительной системы
Rectal Carcinoma	C06	Заболевания пищеварительной системы
Esophageal Neoplasms	C06	Заболевания пищеварительной системы
gallbladder neoplasm	C06	Заболевания пищеварительной системы
Pancreatic Neoplasm	C06	Заболевания пищеварительной системы
Rectal Neoplasms	C06	Заболевания пищеварительной системы
Esophageal carcinoma	C06	Заболевания пищеварительной системы
Malignant neoplasm of gallbladder	C06	Заболевания пищеварительной системы
Benign neoplasm of esophagus	C06	Заболевания пищеварительной системы
Carcinoma in situ of esophagus	C06	Заболевания пищеварительной системы
Malignant neoplasm of pancreas	C06	Заболевания пищеварительной системы
Malignant neoplasm of esophagus	C06	Заболевания пищеварительной системы
Bile duct carcinoma	C06	Заболевания пищеварительной системы
Adenocarcinoma of large intestine	C06	Заболевания пищеварительной системы
Mesenteric Vascular Occlusion	C06	Заболевания пищеварительной системы
Appendicitis	C06	Заболевания пищеварительной системы
Inflammatory disease of mucous membrane	C06	Заболевания пищеварительной системы
Ruptured Appendicitis	C06	Заболевания пищеварительной системы
Cystic Fibrosis	C06	Заболевания пищеварительной системы
Pulmonary Cystic Fibrosis	C06	Заболевания пищеварительной системы
Fibrocystic Disease of Pancreas	C06	Заболевания пищеварительной системы
Hepatic Coma	C06	Заболевания пищеварительной системы
Hepatic Encephalopathy	C06	Заболевания пищеварительной системы
Fulminant Hepatic Failure with Cerebral Edema	C06	Заболевания пищеварительной системы
Hepatic Stupor	C06	Заболевания пищеварительной системы
Copper-Overload Cirrhosis	C06	Заболевания пищеварительной системы
Barrett Esophagus	C06	Заболевания пищеварительной системы
Barrett Epithelium	C06	Заболевания пищеварительной системы
Hereditary Nonpolyposis Colorectal Neoplasms	C06	Заболевания пищеварительной системы
Hereditary Nonpolyposis Colorectal Cancer	C06	Заболевания пищеварительной системы
Lynch Syndrome	C06	Заболевания пищеварительной системы
Gastrointestinal Hemorrhage	C06	Заболевания пищеварительной системы
Hematochezia	C06	Заболевания пищеварительной системы
Hepatitis, Animal	C06	Заболевания пищеварительной системы
Hepatic Veno-Occlusive Disease	C06	Заболевания пищеварительной системы
Hemorrhoids	C06	Заболевания пищеварительной системы
Cholestasis of pregnancy	C06	Заболевания пищеварительной системы
Familial intrahepatic cholestasis of pregnancy	C06	Заболевания пищеварительной системы
Adenocarcinoma	C04	Новообразования
Adenocarcinoma, Basal Cell	C04	Новообразования
Adenocarcinoma, Oxyphilic	C04	Новообразования
Carcinoma, Cribriform	C04	Новообразования
Carcinoma, Granular Cell	C04	Новообразования
Adenocarcinoma, Tubular	C04	Новообразования
Adenocarcinoma of lung (disorder)	C04	Новообразования
Pheochromocytoma	C04	Новообразования
Pheochromocytoma, Extra-Adrenal	C04	Новообразования
Dermatofibrosarcoma Protuberans	C04	Новообразования
Leukemia, Myelocytic, Acute	C04	Новообразования
Acute Myeloid Leukemia, M1	C04	Новообразования
Acute Myeloid Leukemia (AML-M2)	C04	Новообразования
Glioma	C04	Новообразования
Precancerous Conditions	C04	Новообразования
mixed gliomas	C04	Новообразования
Condition, Preneoplastic	C04	Новообразования
Malignant Glioma	C04	Новообразования
Carcinoma	C04	Новообразования
Glioblastoma	C04	Новообразования
Mammary Neoplasms, Experimental	C04	Новообразования
Anaplastic carcinoma	C04	Новообразования
Carcinoma, Spindle-Cell	C04	Новообразования
Undifferentiated carcinoma	C04	Новообразования
Carcinomatosis	C04	Новообразования
Giant Cell Glioblastoma	C04	Новообразования
Glioblastoma Multiforme	C04	Новообразования
leukemia	C04	Новообразования
Carcinoma, Transitional Cell	C04	Новообразования
Adenoma	C04	Новообразования
Adenoma, Basal Cell	C04	Новообразования
Follicular adenoma	C04	Новообразования
Adenoma, Microcystic	C04	Новообразования
Adenoma, Monomorphic	C04	Новообразования
Papillary adenoma	C04	Новообразования
Adenoma, Trabecular	C04	Новообразования
Malignant Neoplasms	C04	Новообразования
Squamous cell carcinoma	C04	Новообразования
Head and Neck Neoplasms	C04	Новообразования
Head Neoplasms	C04	Новообразования
Mesothelioma	C04	Новообразования
Neck Neoplasms	C04	Новообразования
Osteosarcoma	C04	Новообразования
Papilloma	C04	Новообразования
Papilloma, Squamous Cell	C04	Новообразования
Papillomatosis	C04	Новообразования
Cholangiocarcinoma	C04	Новообразования
gliosarcoma	C04	Новообразования
Malignant Head and Neck Neoplasm	C04	Новообразования
Intrahepatic Cholangiocarcinoma	C04	Новообразования
Cancer of Neck	C04	Новообразования
Cancer of Head	C04	Новообразования
Upper Aerodigestive Tract Neoplasms	C04	Новообразования
Squamous cell carcinoma of the head and neck	C04	Новообразования
Extrahepatic Cholangiocarcinoma	C04	Новообразования
Head and Neck Carcinoma	C04	Новообразования
Neoplasms, Experimental	C04	Новообразования
Neoplasms	C04	Новообразования
Benign Neoplasm	C04	Новообразования
Adenoid Cystic Carcinoma	C04	Новообразования
Pigmented Basal Cell Carcinoma	C04	Новообразования
Carcinoma, Basal Cell	C04	Новообразования
melanoma	C04	Новообразования
Acute Promyelocytic Leukemia	C04	Новообразования
Neuroblastoma	C04	Новообразования
Hemangiosarcoma	C04	Новообразования
Sarcoma, Epithelioid	C04	Новообразования
Sarcoma, Spindle Cell	C04	Новообразования
Prostatic Intraepithelial Neoplasias	C04	Новообразования
Sarcoma	C04	Новообразования
Astrocytoma	C04	Новообразования
Subependymal Giant Cell Astrocytoma	C04	Новообразования
Juvenile Pilocytic Astrocytoma	C04	Новообразования
Diffuse Astrocytoma	C04	Новообразования
Anaplastic astrocytoma	C04	Новообразования
Protoplasmic astrocytoma	C04	Новообразования
Gemistocytic astrocytoma	C04	Новообразования
Fibrillary Astrocytoma	C04	Новообразования
Pilocytic Astrocytoma	C04	Новообразования
Childhood Cerebral Astrocytoma	C04	Новообразования
Mixed oligoastrocytoma	C04	Новообразования
Cerebral Astrocytoma	C04	Новообразования
Intracranial Astrocytoma	C04	Новообразования
Grade I Astrocytoma	C04	Новообразования
Leukemia, Monocytic, Chronic	C04	Новообразования
Myeloid Leukemia	C04	Новообразования
Neuroectodermal Tumor, Primitive	C04	Новообразования
Spongioblastoma	C04	Новообразования
Medulloepithelioma	C04	Новообразования
Ependymoblastoma	C04	Новообразования
Cerebral Primitive Neuroectodermal Tumor	C04	Новообразования
Lung Neoplasms	C04	Новообразования
Malignant neoplasm of stomach	C04	Новообразования
Neoplasm Metastasis	C04	Новообразования
Stomach Neoplasms	C04	Новообразования
Malignant neoplasm of lung	C04	Новообразования
Hereditary Diffuse Gastric Cancer	C04	Новообразования
Liver carcinoma	C04	Новообразования
Gastro-enteropancreatic neuroendocrine tumor	C04	Новообразования
Malignant tumor of colon	C04	Новообразования
Colonic Neoplasms	C04	Новообразования
Hepatocellular Adenoma	C04	Новообразования
Malignant mesothelioma	C04	Новообразования
Colorectal Carcinoma	C04	Новообразования
Prostatic Neoplasms	C04	Новообразования
Diffuse Large B-Cell Lymphoma	C04	Новообразования
Peripheral T-Cell Lymphoma	C04	Новообразования
Squamous cell carcinoma of esophagus	C04	Новообразования
Malignant neoplasm of prostate	C04	Новообразования
Non-Small Cell Lung Carcinoma	C04	Новообразования
Adenomatous Polyposis Coli	C04	Новообразования
Polyposis, Adenomatous Intestinal	C04	Новообразования
Familial Intestinal Polyposis	C04	Новообразования
Malignant neoplasm of breast	C04	Новообразования
Corpus Luteum Cyst	C04	Новообразования
Ovarian Cysts	C04	Новообразования
Small cell carcinoma of lung	C04	Новообразования
Meningioma	C04	Новообразования
Meningiomas, Multiple	C04	Новообразования
Malignant Meningioma	C04	Новообразования
Benign Meningioma	C04	Новообразования
Meningothelial meningioma	C04	Новообразования
Fibrous Meningioma	C04	Новообразования
Psammomatous Meningioma	C04	Новообразования
Angiomatous Meningioma	C04	Новообразования
Hemangioblastic Meningioma	C04	Новообразования
Hemangiopericytic Meningioma	C04	Новообразования
Transitional Meningioma	C04	Новообразования
Spinal Meningioma	C04	Новообразования
Intracranial Meningioma	C04	Новообразования
Clear Cell Meningioma	C04	Новообразования
Xanthomatous Meningioma	C04	Новообразования
Cerebral Convexity Meningioma	C04	Новообразования
Parasagittal Meningioma	C04	Новообразования
Intraorbital Meningioma	C04	Новообразования
Intraventricular Meningioma	C04	Новообразования
Olfactory Groove Meningioma	C04	Новообразования
Secretory meningioma	C04	Новообразования
Microcystic meningioma	C04	Новообразования
Angioblastic Meningioma	C04	Новообразования
Posterior Fossa Meningioma	C04	Новообразования
Sphenoid Wing Meningioma	C04	Новообразования
Papillary Meningioma	C04	Новообразования
Neoplasm Invasiveness	C04	Новообразования
Mouth Neoplasms	C04	Новообразования
Malignant neoplasm of mouth	C04	Новообразования
Neoplastic Cell Transformation	C04	Новообразования
Animal Mammary Neoplasms	C04	Новообразования
Breast Carcinoma	C04	Новообразования
Mammary Carcinoma, Animal	C04	Новообразования
Mammary Neoplasms, Human	C04	Новообразования
Mammary Neoplasms	C04	Новообразования
Mammary Carcinoma, Human	C04	Новообразования
Genital Neoplasms, Female	C04	Новообразования
Malignant neoplasm of urinary bladder	C04	Новообразования
Bladder Neoplasm	C04	Новообразования
Colorectal Neoplasms	C04	Новообразования
ovarian neoplasm	C04	Новообразования
Malignant neoplasm of ovary	C04	Новообразования
Liver neoplasms	C04	Новообразования
Malignant neoplasm of liver	C04	Новообразования
Leydig Cell Tumor	C04	Новообразования
Pituitary Adenoma	C04	Новообразования
Pituitary Neoplasms	C04	Новообразования
Prolactinoma	C04	Новообразования
Microprolactinoma	C04	Новообразования
Macroprolactinoma	C04	Новообразования
Pituitary carcinoma	C04	Новообразования
Growth Hormone-Secreting Pituitary Adenoma	C04	Новообразования
Somatotrophinoma, Familial	C04	Новообразования
Polycystic Ovary Syndrome	C04	Новообразования
Sclerocystic Ovaries	C04	Новообразования
Microphthalmia associated with colobomatous cyst	C04	Новообразования
Lymphatic Metastasis	C04	Новообразования
Chronic Lymphocytic Leukemia	C04	Новообразования
Reticulosarcoma	C04	Новообразования
Lymphoma, Mixed-Cell	C04	Новообразования
Lymphoma, Non-Hodgkin	C04	Новообразования
Lymphoma, Undifferentiated	C04	Новообразования
High Grade Lymphoma (neoplasm)	C04	Новообразования
Lymphoma, Intermediate-Grade	C04	Новообразования
Low Grade Lymphoma (neoplasm)	C04	Новообразования
Diffuse Mixed-Cell Lymphoma	C04	Новообразования
Lymphoma, Small Noncleaved-Cell	C04	Новообразования
Lymphoma, Diffuse	C04	Новообразования
Lymphoma, Non-Hodgkin, Familial	C04	Новообразования
Renal Cell Carcinoma	C04	Новообразования
Conventional (Clear Cell) Renal Cell Carcinoma	C04	Новообразования
Chromophobe Renal Cell Carcinoma	C04	Новообразования
Sarcomatoid Renal Cell Carcinoma	C04	Новообразования
Collecting Duct Carcinoma of the Kidney	C04	Новообразования
Papillary Renal Cell Carcinoma	C04	Новообразования
Hepatoma, Morris	C04	Новообразования
Hepatoma, Novikoff	C04	Новообразования
Liver Neoplasms, Experimental	C04	Новообразования
Experimental Hepatoma	C04	Новообразования
Myasthenia Gravis	C04	Новообразования
Myasthenia Gravis, Generalized	C04	Новообразования
Myasthenia Gravis, Ocular	C04	Новообразования
Bile Duct Neoplasms	C04	Новообразования
Brain Neoplasms	C04	Новообразования
Malignant neoplasm of endometrium	C04	Новообразования
Adenocarcinoma of prostate	C04	Новообразования
Rectal Carcinoma	C04	Новообразования
Uterine Cervical Neoplasm	C04	Новообразования
Esophageal Neoplasms	C04	Новообразования
gallbladder neoplasm	C04	Новообразования
Nasopharyngeal Neoplasms	C04	Новообразования
Neoplasm Recurrence, Local	C04	Новообразования
Pancreatic Neoplasm	C04	Новообразования
Rectal Neoplasms	C04	Новообразования
Squamous cell carcinoma of lung	C04	Новообразования
Esophageal carcinoma	C04	Новообразования
Malignant neoplasm of gallbladder	C04	Новообразования
Malignant neoplasm of brain	C04	Новообразования
Benign neoplasm of esophagus	C04	Новообразования
Carcinoma in situ of esophagus	C04	Новообразования
Adrenocortical carcinoma	C04	Новообразования
Cancer of Nasopharynx	C04	Новообразования
Carcinoma in situ of endometrium	C04	Новообразования
Malignant neoplasm of pancreas	C04	Новообразования
Squamous cell carcinoma of tongue	C04	Новообразования
Endometrial Carcinoma	C04	Новообразования
Malignant neoplasm of esophagus	C04	Новообразования
Carcinoma of lung	C04	Новообразования
Bile duct carcinoma	C04	Новообразования
Endometrial adenocarcinoma	C04	Новообразования
Adenocarcinoma of large intestine	C04	Новообразования
cervical cancer	C04	Новообразования
Polycythemia Vera	C04	Новообразования
Salivary Gland Neoplasms	C04	Новообразования
Malignant neoplasm of salivary gland	C04	Новообразования
Adult T-Cell Lymphoma/Leukemia	C04	Новообразования
Multiple Myeloma	C04	Новообразования
Kaposi Sarcoma	C04	Новообразования
Thyroid Neoplasm	C04	Новообразования
Thyroid Gland Follicular Adenoma	C04	Новообразования
Thyroid carcinoma	C04	Новообразования
Benign neoplasm of brain, unspecified	C04	Новообразования
Brain Tumor, Primary	C04	Новообразования
Recurrent Brain Neoplasm	C04	Новообразования
Primary malignant neoplasm of brain	C04	Новообразования
Neoplasms, Intracranial	C04	Новообразования
Mycosis Fungoides	C04	Новообразования
Sezary Syndrome	C04	Новообразования
Bone neoplasms	C04	Новообразования
Nose Neoplasms	C04	Новообразования
Malignant Bone Neoplasm	C04	Новообразования
Cancer of Nose	C04	Новообразования
Testicular Germ Cell Tumor	C04	Новообразования
Nasopharyngeal carcinoma	C04	Новообразования
Myeloid Leukemia, Chronic	C04	Новообразования
Hematopoietic Neoplasms	C04	Новообразования
Hematologic Neoplasms	C04	Новообразования
Burkitt Lymphoma	C04	Новообразования
Precursor B-cell lymphoblastic leukemia	C04	Новообразования
Barrett Esophagus	C04	Новообразования
Barrett Epithelium	C04	Новообразования
Hereditary Nonpolyposis Colorectal Neoplasms	C04	Новообразования
Hereditary Nonpolyposis Colorectal Cancer	C04	Новообразования
Lynch Syndrome	C04	Новообразования
Hodgkin Disease	C04	Новообразования
Mixed Cellularity Hodgkin Lymphoma	C04	Новообразования
Hodgkin lymphoma, lymphocyte depletion	C04	Новообразования
Adult Hodgkin Lymphoma	C04	Новообразования
Lymphocyte Rich Classical Hodgkin Lymphoma	C04	Новообразования
Nodular Lymphocyte Predominant Hodgkin Lymphoma	C04	Новообразования
Tongue Neoplasms	C04	Новообразования
Malignant neoplasm of tongue	C04	Новообразования
Small Lymphocytic Lymphoma	C04	Новообразования
Malignant neoplasm of skin	C04	Новообразования
Skin Neoplasms	C04	Новообразования
Chronic myeloproliferative disorder	C04	Новообразования
Pleural Neoplasms	C04	Новообразования
Lymphoma	C04	Новообразования
Lymphangioleiomyomatosis	C04	Новообразования
Anxiety Disorders	F03	Психические расстройства
Bipolar Disorder	F03	Психические расстройства
Depression, Bipolar	F03	Психические расстройства
Manic Disorder	F03	Психические расстройства
Manic	F03	Психические расстройства
Anxiety States, Neurotic	F03	Психические расстройства
Mood Disorders	F03	Психические расстройства
Anxiety neurosis (finding)	F03	Психические расстройства
Depressive disorder	F03	Психические расстройства
Autistic Disorder	F03	Психические расстройства
Schizophrenia	F03	Психические расстройства
Unipolar Depression	F03	Психические расстройства
Major Depressive Disorder	F03	Психические расстройства
Endogenous depression	F03	Психические расстройства
Melancholia	F03	Психические расстройства
Depressive Syndrome	F03	Психические расстройства
Depression, Neurotic	F03	Психические расстройства
Psychotic Disorders	F03	Психические расстройства
Nonorganic psychosis	F03	Психические расстройства
Affective Disorders, Psychotic	F03	Психические расстройства
Involutional Depression	F03	Психические расстройства
Involutional paraphrenia	F03	Психические расстройства
Psychosis, Involutional	F03	Психические расстройства
Claustrophobia	F03	Психические расстройства
Frigidity	F03	Психические расстройства
Hypoactive Sexual Desire Disorder	F03	Психические расстройства
Orgasmic Disorder	F03	Психические расстройства
Psychosexual Disorders	F03	Психические расстройства
Sexual Arousal Disorder	F03	Психические расстройства
