source	target	diseaseName
Fibronectin	Заболевания вследствие воздействия химических веществ	Alcohol abuse
Fructose-bisphosphate aldolase B	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Fructose-bisphosphate aldolase B	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Fructose-bisphosphate aldolase B	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Fructose-bisphosphate aldolase B	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Fructose-bisphosphate aldolase B	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Fructose-bisphosphate aldolase B	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Hemopexin	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Hemopexin	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Hemopexin	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Hemopexin	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Hemopexin	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Hemopexin	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Myeloperoxidase	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication
Myeloperoxidase	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Myeloperoxidase	Заболевания вследствие воздействия химических веществ	Liver Cirrhosis, Alcoholic
Myeloperoxidase	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
Natriuretic peptides B	Заболевания вследствие воздействия химических веществ	Cardiotoxicity
Plasma protease C1 inhibitor	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Plasma protease C1 inhibitor	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Plasma protease C1 inhibitor	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Plasma protease C1 inhibitor	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Plasma protease C1 inhibitor	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Plasma protease C1 inhibitor	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Plasminogen	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Plasminogen	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Plasminogen	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Plasminogen	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Plasminogen	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Plasminogen	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Prolactin	Заболевания вследствие воздействия химических веществ	Cocaine Abuse
Prolactin	Заболевания вследствие воздействия химических веществ	Substance Withdrawal Syndrome
Prolactin	Заболевания вследствие воздействия химических веществ	Drug Withdrawal Symptoms
Prolactin	Заболевания вследствие воздействия химических веществ	Withdrawal Symptoms
Prolactin	Заболевания вследствие воздействия химических веществ	Cocaine-Related Disorders
Prolactin	Заболевания вследствие воздействия химических веществ	Cocaine Dependence
Retinol-binding protein 4	Заболевания вследствие воздействия химических веществ	Alcoholic Liver Diseases
Serotransferrin	Заболевания вследствие воздействия химических веществ	Alcohol Use Disorder
Serotransferrin	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
Serotransferrin	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Serotransferrin	Заболевания вследствие воздействия химических веществ	Alcohol abuse
Serotransferrin	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Serotransferrin	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Serotransferrin	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Serotransferrin	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Serotransferrin	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Serum albumin	Заболевания вследствие воздействия химических веществ	Toxic Epidermal Necrolysis
Serum albumin	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Serum albumin	Заболевания вследствие воздействия химических веществ	Serum Sickness
Serum albumin	Заболевания вследствие воздействия химических веществ	Stevens-Johnson Syndrome
Serum albumin	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Serum albumin	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Serum albumin	Заболевания вследствие воздействия химических веществ	Drug-Induced Stevens Johnson Syndrome
Serum albumin	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Serum albumin	Заболевания вследствие воздействия химических веществ	Mycoplasma-Induced Stevens-Johnson Syndrome
Serum albumin	Заболевания вследствие воздействия химических веществ	Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum
Serum albumin	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Serum albumin	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Sex hormone-binding globulin	Заболевания вследствие воздействия химических веществ	Alcohol Use Disorder
Sex hormone-binding globulin	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
Sex hormone-binding globulin	Заболевания вследствие воздействия химических веществ	Alcohol abuse
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Encephalopathy, Toxic
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Toxic Encephalitis
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Neurotoxicity Syndromes
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Amphetamine-Related Disorders
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Amphetamine Addiction
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Amphetamine Abuse
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Tissue-type plasminogen activator	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Transthyretin	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Transthyretin	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Transthyretin	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
Transthyretin	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Transthyretin	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Transthyretin	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Transthyretin	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Transthyretin	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Alcohol Use Disorder
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
von Willebrand factor	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Adiponectin	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Adiponectin	Заболевания вследствие воздействия химических веществ	Heroin Dependence
Adiponectin	Заболевания вследствие воздействия химических веществ	heroin abuse
Adiponectin	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Adiponectin	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Adiponectin	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Adiponectin	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Adiponectin	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Adiponectin	Заболевания вследствие воздействия химических веществ	Heroin Smoking
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Cardiomyopathy, Alcoholic
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Angiotensinogen	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Complement C2	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Complement C2	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Complement C2	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Complement C2	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Complement C2	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Complement C2	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Complement component C8 beta chain	Заболевания вследствие воздействия химических веществ	Opioid-Related Disorders
Complement component C8 beta chain	Заболевания вследствие воздействия химических веществ	Opioid abuse
Complement component C8 beta chain	Заболевания вследствие воздействия химических веществ	Narcotic Abuse
Complement component C8 beta chain	Заболевания вследствие воздействия химических веществ	Opiate Addiction
Complement component C8 beta chain	Заболевания вследствие воздействия химических веществ	Narcotic Dependence
Complement component C8 beta chain	Заболевания вследствие воздействия химических веществ	Opiate Abuse
Corticosteroid-binding globulin	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Corticosteroid-binding globulin	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Corticosteroid-binding globulin	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Corticosteroid-binding globulin	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Corticosteroid-binding globulin	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Corticosteroid-binding globulin	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Epidermal growth factor receptor	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
Epidermal growth factor receptor	Заболевания вследствие воздействия химических веществ	Marijuana Abuse
Epidermal growth factor receptor	Заболевания вследствие воздействия химических веществ	Alcohol abuse
Interleukin-10	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
Interleukin-10	Заболевания вследствие воздействия химических веществ	Drug Allergy
Interleukin-6	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
Interleukin-6	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Interleukin-6	Заболевания вследствие воздействия химических веществ	Liver Cirrhosis, Alcoholic
Interleukin-6	Заболевания вследствие воздействия химических веществ	Nicotine Dependence
Interleukin-6	Заболевания вследствие воздействия химических веществ	Tobacco Dependence
Interleukin-6	Заболевания вследствие воздействия химических веществ	Drug-induced depressive state
Interleukin-6	Заболевания вследствие воздействия химических веществ	Nicotine Use Disorder
Interleukin-6	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Interleukin-6	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Interleukin-6	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Interleukin-6	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Interleukin-6	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Kininogen-1	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Kininogen-1	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Kininogen-1	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
Kininogen-1	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Kininogen-1	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Kininogen-1	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Kininogen-1	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Kininogen-1	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Protein S100-B	Заболевания вследствие воздействия химических веществ	Minamata Disease
Protein S100-B	Заболевания вследствие воздействия химических веществ	Inorganic Mercury Poisoning
Protein S100-B	Заболевания вследствие воздействия химических веществ	Mercury Poisoning, Organic
Protein S100-B	Заболевания вследствие воздействия химических веществ	Mercury Poisoning, Nervous System
Protein S100-B	Заболевания вследствие воздействия химических веществ	Mercury Encephalopathy
Protein S100-B	Заболевания вследствие воздействия химических веществ	Mad Hatter Disease
Protein S100-B	Заболевания вследствие воздействия химических веществ	Mercurial Neuroanesthenia
Protein S100-B	Заболевания вследствие воздействия химических веществ	Mercury Psychosis
Prothrombin	Заболевания вследствие воздействия химических веществ	Alcohol abuse
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Vitamin D-binding protein	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Complement  C4	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Complement  C4	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Liver Cirrhosis, Alcoholic
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Alcohol abuse
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
72 KDa type IV collagenase	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
78 kDa glucose-regulated protein	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
78 kDa glucose-regulated protein	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
78 kDa glucose-regulated protein	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
78 kDa glucose-regulated protein	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
78 kDa glucose-regulated protein	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
78 kDa glucose-regulated protein	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Apolipoprotein C-II	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Apolipoprotein C-II	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
Apolipoprotein C-III	Заболевания вследствие воздействия химических веществ	Drug Eruptions
Apolipoprotein C-III	Заболевания вследствие воздействия химических веществ	Morbilliform Drug Reaction
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Alcoholic Intoxication, Chronic
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Alcohol abuse
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Drug-Induced Liver Disease
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Hepatitis, Drug-Induced
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Drug-Induced Acute Liver Injury
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Chemical and Drug Induced Liver Injury
Apolipoprotein E	Заболевания вследствие воздействия химических веществ	Chemically-Induced Liver Toxicity
Aromatase	Заболевания вследствие воздействия химических веществ	Alcohol withdrawal syndrome
Atrial natriuretic peptide receptor 1	Заболевания вследствие воздействия химических веществ	Alcohol-Related Disorders
Beta-2-glycoprotein 1	Заболевания вследствие воздействия химических веществ	Hepatitis, Toxic
